Name,Type,Nation,Epoch
"Моска-Быстрицкий МБ","Fighter","СССР/Россия","World War I"
"Ольховский Торпедо","Fighter","Российская Империя","World War I"
"Сикорский С.XVI","Fighter","Российская Империя","World War I"
"Adamoli-Cattani fighter","Fighter","Италия","World War I"
"Air Department AD Scout/Sparrow","Fighter","Великобритания","World War I"
"Airco DH.1","Fighter","Великобритания","World War I"
"Airco DH.2","Fighter","Великобритания","World War I"
"Airco DH.5","Fighter","Австралия","World War I"
"Albatros D.I/D.II/D.III/D.V/Dr.I","Fighter","Великобритания","World War I"
"Albatros D.XI","Fighter","Германия (WWI)","World War I"
"Albatros Dr.II","Fighter","Германия (WWI)","World War I"
"Ansaldo A.1 Balilla","Fighter","Греция","World War I"
"Armstrong Whitworth FK.10","Fighter","Великобритания","World War I"
"Austin AFT.3 Osprey","Fighter","Великобритания","World War I"
"Aviatik-Berg D.I/D.II/Dr.I","Fighter","Австро-Венгрия","World War I"
"BAT FK.23 Bantam I","Fighter","Великобритания","World War I"
"Blackburn Triplane","Fighter","Другие","World War I"
"Bristol F.2A/B/C Fighter","Fighter","Австралия","World War I"
"Bristol M.1A/B/C/D Scout","Fighter","Великобритания","World War I"
"Caproni Ca.20","Fighter","Италия","World War I"
"Dornier D.I","Fighter","Германия (WWI)","World War I"
"Fairey F.2","Fighter","Великобритания","World War I"
"Fokker B.II","Fighter","Австро-Венгрия","World War I"
"Fokker Dr.I","Fighter","Германия (WWI)","World War I"
"Fokker D.I/D.II/D.III/D.IV/D.V/D.VI","Fighter","Австро-Венгрия","World War I"
"Fokker D.VII","Fighter","Бельгия","World War I"
"Fokker D.VIII/E.V","Fighter","Германия (WWI)","World War I"
"Fokker E.I/E.II/E.III/E.IV Eindecker","Fighter","Австро-Венгрия","World War I"
"Fokker V.1","Fighter","Другие","World War I"
"Haefeli DH-4","Fighter","Швейцария","World War I"
"Halberstadt D.I/D.II/D.III/D.V","Fighter","Германия (WWI)","World War I"
"Hanriot HD.1","Fighter","Бельгия","World War I"
"Hanriot HD.3","Fighter","Франция","World War I"
"Hansa-Brandenburg D.I","Fighter","Австро-Венгрия","World War I"
"Hansa-Brandenburg Triplane","Fighter","Австро-Венгрия","World War I"
"Junkers J.7/J.9 (D.I)","Fighter","Германия (WWI)","World War I"
"Kondor D.I","Fighter","Германия (WWI)","World War I"
"LFG Roland D.II","Fighter","Болгария","World War I"
"LFG Roland D.VI","Fighter","Германия (WWI)","World War I"
"Lloyd Triplane","Fighter","Австро-Венгрия","World War I"
"Loening M-8","Fighter","США","World War I"
"Lohner AA","Fighter","Австро-Венгрия","World War I"
"Martin Kitten K.III","Fighter","Другие","World War I"
"Martinsyde S.1","Fighter","Великобритания","World War I"
"Morane-Saulnier AC","Fighter","Франция","World War I"
"Morane-Saulnier AI/MS.27/MS.29/MS.30","Fighter","Бельгия","World War I"
"Morane-Saulnier I/N","Fighter","Великобритания","World War I"
"Morane-Saulnier G/H/L","Fighter","Бельгия","World War I"
"Nielsen and Winther A/S Type Aa","Fighter","Дания","World War I"
"Nieuport 9/10","Fighter","Бельгия","World War I"
"Nieuport 11/16 Bebe","Fighter","Австро-Венгрия","World War I"
"Nieuport 12/13/20/80/81/83","Fighter","Великобритания","World War I"
"Nieuport 17/21/23/24/25/27","Fighter","Бельгия","World War I"
"Nieuport 28","Fighter","США","World War I"
"Nieuport Triplane","Fighter","Великобритания","World War I"
"Oeffag D.III/Ba.153/Ba.253","Fighter","Австро-Венгрия","World War I"
"Pfalz A.I/A.II/E.I/E.II/E.III/E.IV/E.V","Fighter","Германия (WWI)","World War I"
"Pfalz D.III","Fighter","Германия (WWI)","World War I"
"Pfalz D.XII","Fighter","Германия (WWI)","World War I"
"Phonix D.I/D.II/D.III","Fighter","Австрия","World War I"
"Pomilio Gamma","Fighter","Италия","World War I"
"Ponnier M.1","Fighter","Бельгия","World War I"
"RAF BE.12","Fighter","Австралия","World War I"
"RAF FE.2","Fighter","Великобритания","World War I"
"RAF FE.8","Fighter","Австралия","World War I"
"RAF SE.5","Fighter","Австралия","World War I"
"Siemens-Schuckert D.I/D.III/D.IV","Fighter","Германия (WWI)","World War I"
"Sopwith 1 1/2 Strutter","Fighter","Австралия","World War I"
"Sopwith 5F.1 Dolphin","Fighter","Великобритания","World War I"
"Sopwith 7F.1 Snipe","Fighter","Великобритания","World War I"
"Sopwith F.1 Camel","Fighter","Бельгия","World War I"
"Sopwith Pup","Fighter","Великобритания","World War I"
"Sopwith Swallow","Fighter","Великобритания","World War I"
"Sopwith Triplane/Tripe","Fighter","Великобритания","World War I"
"SPAD SA.1/SA.2/SA.3/SA.4","Fighter","Российская Империя","World War I"
"SPAD S.VII","Fighter","Бельгия","World War I"
"SPAD S.XII/XIII","Fighter","Бельгия","World War I"
"SPAD S.XV","Fighter","Частные","World War I"
"Vickers ES.2","Fighter","Великобритания","World War I"
"Vickers FB.5 Gunbus","Fighter","Великобритания","World War I"
"Vickers FB.6","Fighter","Великобритания","World War I"
"Vickers FB.19","Fighter","Великобритания","World War I"
"Wright Quadruplane","Fighter","Великобритания","World War I"
"Zeppelin LZ C.II","Fighter","Швейцария","World War I"
"Сикорский Илья Муромец","Bomber","Российская Империя","World War I"
"AEG G.II/III/IV","Bomber","Германия (WWI)","World War I"
"Airco DH.4","Bomber","Великобритания","World War I"
"Airco DH.9/9A","Bomber","Австралия","World War I"
"Airco DH.10 Amiens","Bomber","Великобритания","World War I"
"Blackburn RT.1 Kangaroo","Bomber","Великобритания","World War I"
"Breguet Br.14/Br.17","Bomber","Бельгия","World War I"
"Caproni Ca.1/Ca.2/Ca.3/Ca.30/Ca.31","Bomber","Италия","World War I"
"Caproni Ca.4/Ca.42","Bomber","Великобритания","World War I"
"Caproni Ca.5","Bomber","Италия","World War I"
"Caudron R.4/R.XI/C.23","Bomber","Франция","World War I"
"DFW R-I/R-II","Bomber","Германия (WWI)","World War I"
"Farman F.50","Bomber","Франция","World War I"
"Friedrichshafen G.II/G.III","Bomber","Германия (WWI)","World War I"
"Gotha G.I","Bomber","Германия (WWI)","World War I"
"Gotha G.II/G.III/G.IV/G.V","Bomber","Австро-Венгрия","World War I"
"Gotha G.IX","Bomber","Бельгия","World War I"
"Gotha GL.VII","Bomber","Украина","World War I"
"Handley Page HP.11/HP.12","Bomber","Великобритания","World War I"
"Handley Page HP.15 (V/1500)","Bomber","Великобритания","World War I"
"Hansa-Brandenburg G.I","Bomber","Австро-Венгрия","World War I"
"Linke-Hoffmann R.II","Bomber","Германия (WWI)","World War I"
"Otto C.I","Bomber","Болгария","World War I"
"Salmson SM.1/SM.2/SAL.1","Bomber","Франция","World War I"
"Short Bomber","Bomber","Великобритания","World War I"
"Siemens-Schuckert type G/R.I","Bomber","Германия (WWI)","World War I"
"Vickers FB.27 Vimy","Bomber","Великобритания","World War I"
"Voisin L/LA/LAS/LAP/3/5/8/10","Bomber","Бельгия","World War I"
